Cost 323.0
Edges 323
E 2001 7
E 2001 94
E 2001 119
E 2001 139
E 2001 339
E 2001 954
E 2001 1316
E 2001 1406
E 2001 1869
E 2002 38
E 2002 44
E 2002 51
E 2002 96
E 2002 1962
E 2003 1316
E 2004 102
E 2004 131
E 2004 1869
E 2005 94
E 2005 128
E 2005 163
E 2005 195
E 2005 283
E 2005 764
E 2006 253
E 2006 345
E 2006 764
E 2006 1962
E 2007 24
E 2007 58
E 2007 954
E 2008 4
E 2008 11
E 2008 45
E 2008 96
E 2008 157
E 2008 266
E 2009 64
E 2009 108
E 2009 150
E 2009 157
E 2010 91
E 2010 101
E 2010 130
E 2010 181
E 2010 194
E 2010 253
E 2011 57
E 2011 93
E 2011 345
E 2012 76
E 2012 107
E 2012 165
E 2012 194
E 2012 268
E 2012 387
E 2013 5
E 2013 12
E 2013 21
E 2013 73
E 2013 99
E 2013 268
E 2014 22
E 2014 47
E 2014 58
E 2015 26
E 2015 39
E 2015 131
E 2015 222
E 2016 23
E 2016 95
E 2016 156
E 2016 1406
E 2017 10
E 2017 20
E 2017 42
E 2017 230
E 2017 339
E 2018 10
E 2019 222
E 2020 92
E 2020 95
E 2020 141
E 2021 1
E 2021 44
E 2022 7
E 2022 68
E 2022 98
E 2022 202
E 2023 38
E 2023 48
E 2023 148
E 2024 17
E 2024 253
E 2024 301
E 2025 102
E 2025 196
E 2025 216
E 2026 387
E 2026 496
E 2027 69
E 2027 141
E 2028 17
E 2028 377
E 2029 39
E 2029 209
E 2030 20
E 2031 55
E 2031 178
E 2031 209
E 2032 163
E 2033 28
E 2033 301
E 2034 56
E 2034 156
E 2035 31
E 2035 183
E 2035 377
E 2036 2
E 2036 36
E 2036 80
E 2036 108
E 2037 3
E 2037 34
E 2037 35
E 2037 113
E 2037 128
E 2038 7
E 2038 65
E 2039 5
E 2039 13
E 2039 37
E 2040 9
E 2040 496
E 2041 4
E 2042 46
E 2042 53
E 2042 62
E 2042 266
E 2043 24
E 2044 230
E 2045 56
E 2045 124
E 2045 140
E 2046 52
E 2046 73
E 2047 92
E 2048 8
E 2048 71
E 2048 283
E 2049 18
E 2049 35
E 2050 12
E 2050 114
E 2051 36
E 2052 119
E 2053 6
E 2053 35
E 2054 37
E 2055 16
E 2055 114
E 2056 178
E 2057 165
E 2058 51
E 2059 3
E 2059 70
E 2060 36
E 2061 107
E 2062 28
E 2063 59
E 2063 133
E 2063 202
E 2064 19
E 2064 35
E 2065 45
E 2066 35
E 2067 1
E 2068 48
E 2069 44
E 2070 3
E 2071 14
E 2071 25
E 2071 116
E 2071 196
E 2072 49
E 2072 92
E 2073 55
E 2074 76
E 2075 24
E 2076 47
E 2077 69
E 2078 41
E 2078 49
E 2078 121
E 2079 30
E 2079 268
E 2080 183
E 2080 257
E 2081 71
E 2081 78
E 2082 65
E 2083 19
E 2084 39
E 2085 62
E 2086 1
E 2087 73
E 2088 181
E 2089 21
E 2090 104
E 2090 156
E 2091 116
E 2092 133
E 2093 1
E 2094 49
E 2094 109
E 2095 150
E 2096 25
E 2097 25
E 2098 38
E 2099 1
E 2100 55
E 2101 59
E 2102 45
E 2103 36
E 2104 20
E 2105 13
E 2106 53
E 2107 23
E 2108 22
E 2109 36
E 2110 39
E 2111 80
E 2112 93
E 2113 47
E 2114 124
E 2115 70
E 2116 96
E 2117 16
E 2118 2
E 2119 47
E 2120 55
E 2121 140
E 2122 1
E 2123 12
E 2124 22
E 2124 88
E 2125 101
E 2126 34
E 2127 8
E 2128 121
E 2129 157
E 2130 38
E 2131 20
E 2132 18
E 2133 6
E 2134 6
E 2135 98
E 2136 11
E 2137 113
E 2138 2
E 2139 73
E 2140 109
E 2141 56
E 2142 17
E 2143 99
E 2144 3
E 2145 23
E 2146 139
E 2147 1
E 2148 2
E 2149 34
E 2149 136
E 2150 17
E 2151 148
E 2152 8
E 2153 52
E 2154 41
E 2155 26
E 2156 3
E 2157 4
E 2158 11
E 2159 136
E 2160 34
E 2161 104
E 2162 30
E 2163 57
E 2164 68
E 2165 78
E 2166 4
E 2167 216
E 2168 91
E 2169 17
E 2170 8
E 2171 17
E 2172 24
E 2173 46
E 2174 31
E 2175 70
E 2176 130
E 2177 2
E 2178 93
E 2179 5
E 2180 3
E 2181 257
E 2182 18
E 2183 9
E 2184 42
E 2185 2
E 2186 6
E 2187 88
E 2188 21
E 2189 96
E 2190 20
E 2191 195
E 2192 17
E 2193 59
E 2194 45
E 2195 5
E 2196 64
E 2197 7
E 2198 14
E 2199 38
E 2200 21
