Cost 36771.0
Edges 364
E 1001 22
E 1001 168
E 1002 945
E 1003 722
E 1003 792
E 1003 945
E 1004 446
E 1004 545
E 1004 621
E 1004 922
E 1005 286
E 1006 324
E 1006 893
E 1007 310
E 1008 461
E 1008 609
E 1009 154
E 1009 266
E 1009 592
E 1009 609
E 1010 291
E 1010 352
E 1010 729
E 1010 893
E 1011 260
E 1012 243
E 1012 480
E 1012 873
E 1013 163
E 1013 616
E 1013 693
E 1013 722
E 1013 862
E 1014 607
E 1014 630
E 1014 711
E 1015 322
E 1015 349
E 1015 562
E 1015 852
E 1016 243
E 1016 479
E 1016 708
E 1017 2
E 1018 701
E 1019 318
E 1019 321
E 1019 338
E 1019 716
E 1020 420
E 1020 509
E 1020 602
E 1021 729
E 1022 149
E 1022 461
E 1022 562
E 1023 173
E 1023 634
E 1024 278
E 1025 448
E 1025 756
E 1026 269
E 1026 389
E 1027 320
E 1027 546
E 1027 629
E 1027 836
E 1028 361
E 1028 424
E 1028 728
E 1029 54
E 1029 480
E 1029 610
E 1029 634
E 1030 235
E 1030 958
E 1031 646
E 1032 155
E 1032 605
E 1032 703
E 1032 719
E 1033 321
E 1033 693
E 1034 488
E 1035 561
E 1036 254
E 1036 457
E 1037 148
E 1037 288
E 1037 538
E 1037 634
E 1038 37
E 1038 224
E 1038 686
E 1038 702
E 1038 728
E 1039 538
E 1040 158
E 1040 278
E 1040 836
E 1041 325
E 1041 716
E 1042 224
E 1042 707
E 1042 719
E 1043 235
E 1043 488
E 1043 793
E 1044 4
E 1044 322
E 1044 527
E 1046 728
E 1047 561
E 1047 767
E 1047 779
E 1048 2
E 1048 792
E 1048 958
E 1049 328
E 1050 92
E 1050 218
E 1050 321
E 1050 463
E 1050 724
E 1050 779
E 1050 922
E 1051 399
E 1052 602
E 1053 479
E 1054 627
E 1055 724
E 1055 852
E 1056 7
E 1056 416
E 1056 607
E 1056 616
E 1056 707
E 1057 463
E 1058 33
E 1058 49
E 1058 150
E 1058 546
E 1059 629
E 1060 592
E 1061 495
E 1061 702
E 1062 224
E 1062 399
E 1062 659
E 1062 708
E 1064 545
E 1064 867
E 1065 61
E 1065 163
E 1065 565
E 1066 56
E 1066 218
E 1067 4
E 1067 211
E 1068 67
E 1068 416
E 1068 451
E 1068 579
E 1069 269
E 1069 661
E 1069 744
E 1069 836
E 1070 649
E 1070 870
E 1071 793
E 1072 527
E 1073 150
E 1073 382
E 1074 978
E 1075 424
E 1076 7
E 1076 50
E 1076 529
E 1076 745
E 1076 807
E 1077 92
E 1077 105
E 1077 328
E 1077 376
E 1078 748
E 1078 867
E 1079 610
E 1080 307
E 1080 426
E 1080 744
E 1081 946
E 1082 659
E 1083 38
E 1083 546
E 1083 748
E 1084 698
E 1085 66
E 1085 616
E 1086 817
E 1087 451
E 1088 101
E 1088 186
E 1088 324
E 1088 509
E 1088 745
E 1089 807
E 1090 272
E 1091 43
E 1091 382
E 1092 147
E 1092 446
E 1092 627
E 1092 701
E 1093 33
E 1093 368
E 1093 457
E 1093 987
E 1094 157
E 1094 605
E 1095 43
E 1095 365
E 1095 872
E 1096 61
E 1097 310
E 1097 349
E 1098 365
E 1099 426
E 1100 103
E 1100 403
E 1100 767
E 1101 729
E 1102 711
E 1103 157
E 1104 756
E 1104 976
E 1105 148
E 1106 686
E 1107 87
E 1107 579
E 1108 318
E 1109 67
E 1109 646
E 1110 519
E 1110 703
E 1111 105
E 1112 646
E 1113 61
E 1114 86
E 1114 142
E 1114 326
E 1114 958
E 1115 326
E 1116 38
E 1116 477
E 1117 49
E 1118 149
E 1119 477
E 1120 96
E 1120 281
E 1121 260
E 1121 873
E 1122 142
E 1123 27
E 1123 158
E 1124 621
E 1125 249
E 1125 256
E 1126 218
E 1127 235
E 1128 630
E 1129 40
E 1129 605
E 1130 281
E 1130 338
E 1131 43
E 1131 249
E 1131 396
E 1132 155
E 1133 326
E 1133 976
E 1134 661
E 1135 37
E 1136 745
E 1136 870
E 1137 376
E 1138 147
E 1139 264
E 1139 862
E 1140 40
E 1141 565
E 1142 266
E 1143 54
E 1144 872
E 1145 416
E 1146 86
E 1147 291
E 1148 125
E 1148 148
E 1148 194
E 1149 352
E 1149 997
E 1150 173
E 1151 147
E 1152 168
E 1153 264
E 1153 286
E 1154 96
E 1155 291
E 1156 103
E 1157 368
E 1158 27
E 1159 194
E 1160 288
E 1161 607
E 1162 101
E 1163 2
E 1164 987
E 1165 403
E 1166 519
E 1166 794
E 1167 218
E 1168 649
E 1169 218
E 1170 997
E 1171 211
E 1172 66
E 1173 794
E 1174 87
E 1175 307
E 1176 125
E 1177 325
E 1178 320
E 1179 396
E 1180 56
E 1181 101
E 1182 361
E 1183 365
E 1184 154
E 1185 163
E 1186 66
E 1186 698
E 1187 43
E 1188 22
E 1188 186
E 1189 7
E 1190 389
E 1191 295
E 1191 420
E 1192 529
E 1193 254
E 1194 50
E 1195 719
E 1196 288
E 1197 256
E 1198 154
E 1199 495
E 1200 448
E 1012 435
E 1013 817
E 1022 946
E 1045 435
E 1045 978
E 1051 272
E 1063 295
