Cost 56993.0
Edges 564
E 3002 301
E 3002 741
E 3002 1898
E 3003 76
E 3004 1263
E 3005 489
E 3006 938
E 3007 795
E 3007 1096
E 3008 2436
E 3009 1118
E 3009 1939
E 3010 589
E 3010 2324
E 3011 171
E 3011 793
E 3011 1756
E 3011 1928
E 3012 260
E 3012 813
E 3012 1980
E 3013 528
E 3014 293
E 3015 1846
E 3016 545
E 3017 1469
E 3018 58
E 3018 486
E 3018 913
E 3018 1090
E 3018 2112
E 3019 1244
E 3019 1757
E 3019 2325
E 3019 2896
E 3020 2463
E 3021 795
E 3023 235
E 3024 1244
E 3024 2132
E 3025 899
E 3025 1072
E 3026 124
E 3026 793
E 3026 1447
E 3026 1985
E 3027 1267
E 3027 1512
E 3028 1532
E 3028 1973
E 3030 550
E 3030 1928
E 3030 2179
E 3031 867
E 3032 1129
E 3033 5
E 3033 251
E 3033 1144
E 3033 1157
E 3033 2956
E 3035 618
E 3035 829
E 3035 2347
E 3036 1184
E 3037 2112
E 3037 2132
E 3038 622
E 3038 1324
E 3038 2391
E 3039 1773
E 3040 1352
E 3040 2373
E 3041 1231
E 3041 2464
E 3042 574
E 3042 1274
E 3042 1645
E 3043 162
E 3043 693
E 3043 1516
E 3044 2882
E 3045 2900
E 3046 1129
E 3047 186
E 3047 417
E 3047 1179
E 3047 1757
E 3048 2253
E 3049 2158
E 3050 229
E 3050 1587
E 3050 2174
E 3051 187
E 3051 618
E 3051 2701
E 3052 1685
E 3052 1857
E 3053 929
E 3054 1568
E 3054 1748
E 3054 2701
E 3055 88
E 3055 429
E 3055 471
E 3055 2325
E 3056 334
E 3056 593
E 3056 1293
E 3057 1990
E 3058 120
E 3058 1469
E 3058 1709
E 3059 868
E 3059 929
E 3059 1210
E 3059 1301
E 3059 1985
E 3060 741
E 3060 2358
E 3060 2464
E 3060 2611
E 3061 2926
E 3062 327
E 3062 1094
E 3062 1898
E 3063 1830
E 3063 2158
E 3063 2462
E 3063 2860
E 3064 162
E 3064 678
E 3064 1870
E 3065 588
E 3066 2896
E 3066 2979
E 3068 486
E 3068 895
E 3068 1157
E 3068 1990
E 3069 1304
E 3069 2423
E 3070 1423
E 3071 2791
E 3072 440
E 3072 990
E 3072 2933
E 3073 58
E 3074 1387
E 3074 1756
E 3075 440
E 3075 2373
E 3076 758
E 3076 1741
E 3076 1748
E 3076 2253
E 3077 1748
E 3078 547
E 3078 564
E 3078 1263
E 3078 2887
E 3079 186
E 3079 619
E 3079 1010
E 3079 1210
E 3080 1090
E 3080 1355
E 3080 1857
E 3080 1939
E 3080 1977
E 3081 938
E 3081 2324
E 3082 813
E 3082 1128
E 3083 5
E 3083 680
E 3084 1144
E 3084 1742
E 3085 235
E 3085 362
E 3085 1254
E 3086 574
E 3087 1971
E 3087 2571
E 3088 1
E 3088 1036
E 3088 1516
E 3088 2360
E 3088 2596
E 3089 89
E 3089 1357
E 3090 1864
E 3091 2273
E 3092 661
E 3092 1785
E 3093 1355
E 3093 1773
E 3094 2317
E 3094 2463
E 3094 2887
E 3095 1533
E 3095 2836
E 3096 88
E 3096 173
E 3096 1741
E 3096 1980
E 3097 63
E 3097 171
E 3097 1755
E 3097 2741
E 3098 802
E 3099 1975
E 3099 2926
E 3100 386
E 3101 564
E 3101 1387
E 3101 2273
E 3102 584
E 3102 1755
E 3103 758
E 3103 1709
E 3105 621
E 3105 622
E 3106 2174
E 3106 2842
E 3107 1975
E 3108 755
E 3108 1127
E 3108 1266
E 3108 1651
E 3108 2428
E 3108 2568
E 3108 2933
E 3109 1254
E 3109 1580
E 3110 1127
E 3111 2554
E 3111 2836
E 3112 2979
E 3113 870
E 3113 2554
E 3114 229
E 3115 260
E 3115 361
E 3115 2305
E 3116 1071
E 3117 1071
E 3117 1587
E 3117 1785
E 3117 2347
E 3118 163
E 3118 2956
E 3119 2400
E 3120 229
E 3120 1649
E 3121 661
E 3122 1293
E 3122 2032
E 3122 2900
E 3123 550
E 3124 942
E 3125 1118
E 3125 1266
E 3126 1237
E 3127 543
E 3127 1638
E 3127 2428
E 3128 1742
E 3128 2032
E 3128 2596
E 3129 93
E 3129 1447
E 3129 1948
E 3130 2391
E 3131 362
E 3131 1179
E 3132 1772
E 3132 2179
E 3133 203
E 3134 361
E 3136 89
E 3136 2568
E 3137 1685
E 3138 1293
E 3138 2571
E 3139 1610
E 3140 51
E 3141 476
E 3141 1120
E 3142 629
E 3143 76
E 3143 93
E 3143 489
E 3143 659
E 3143 2767
E 3144 619
E 3145 829
E 3146 63
E 3146 363
E 3146 875
E 3146 1645
E 3146 1975
E 3147 34
E 3147 2303
E 3148 868
E 3149 1
E 3149 2324
E 3150 678
E 3151 1638
E 3152 942
E 3153 136
E 3153 1512
E 3153 2273
E 3153 2730
E 3154 208
E 3154 293
E 3154 1072
E 3154 2360
E 3154 2611
E 3155 124
E 3156 1609
E 3157 43
E 3157 163
E 3158 1
E 3159 471
E 3159 1973
E 3160 1036
E 3161 1535
E 3162 63
E 3162 337
E 3163 1870
E 3164 1353
E 3164 1610
E 3164 1775
E 3164 1905
E 3165 469
E 3165 1267
E 3165 1719
E 3165 1834
E 3166 363
E 3167 1352
E 3168 2273
E 3169 226
E 3170 1001
E 3170 1578
E 3171 882
E 3171 1304
E 3172 1971
E 3172 2423
E 3173 1074
E 3173 1772
E 3174 895
E 3174 2192
E 3174 2254
E 3175 240
E 3175 528
E 3175 2839
E 3176 589
E 3176 1096
E 3177 476
E 3177 1864
E 3177 2842
E 3178 136
E 3179 676
E 3179 1001
E 3179 1568
E 3180 621
E 3180 680
E 3181 593
E 3181 1184
E 3182 186
E 3182 1298
E 3183 2303
E 3184 429
E 3184 1381
E 3185 327
E 3186 66
E 3186 1532
E 3187 208
E 3188 1719
E 3189 938
E 3190 708
E 3191 692
E 3191 2254
E 3192 708
E 3192 1262
E 3192 1324
E 3193 417
E 3194 386
E 3194 563
E 3194 857
E 3194 1651
E 3195 781
E 3195 899
E 3196 693
E 3197 857
E 3198 1190
E 3199 1948
E 3200 301
E 3200 832
E 3201 2730
E 3202 1237
E 3202 2902
E 3203 2196
E 3204 1533
E 3205 1144
E 3206 1512
E 3206 1868
E 3207 89
E 3208 1649
E 3209 1074
E 3210 173
E 3210 986
E 3211 1859
E 3212 882
E 3213 1726
E 3214 547
E 3216 755
E 3217 1042
E 3218 1550
E 3219 1357
E 3220 2553
E 3221 2317
E 3222 2174
E 3223 1830
E 3223 2500
E 3224 11
E 3224 1730
E 3225 584
E 3225 1730
E 3226 334
E 3226 2860
E 3227 1298
E 3228 1120
E 3229 1747
E 3230 1128
E 3231 1010
E 3232 1187
E 3232 1274
E 3233 913
E 3233 2105
E 3234 251
E 3234 1609
E 3235 543
E 3235 2855
E 3236 619
E 3237 90
E 3237 337
E 3238 676
E 3239 2826
E 3241 1905
E 3242 34
E 3242 240
E 3243 676
E 3244 2305
E 3245 42
E 3245 1747
E 3246 563
E 3247 758
E 3248 226
E 3248 832
E 3248 1846
E 3249 2015
E 3250 1864
E 3251 388
E 3251 1578
E 3251 2902
E 3252 990
E 3252 2839
E 3253 659
E 3254 588
E 3254 1977
E 3255 88
E 3255 545
E 3255 2436
E 3256 486
E 3257 11
E 3257 1726
E 3258 1587
E 3259 678
E 3260 235
E 3261 692
E 3261 1423
E 3262 1381
E 3263 2
E 3263 120
E 3263 867
E 3264 90
E 3264 466
E 3264 468
E 3265 462
E 3265 659
E 3265 1042
E 3265 2882
E 3266 2767
E 3267 2
E 3268 875
E 3269 875
E 3270 1362
E 3271 1301
E 3272 2704
E 3273 2358
E 3274 1094
E 3274 1550
E 3274 2791
E 3275 462
E 3276 2462
E 3277 466
E 3277 1859
E 3277 2841
E 3278 693
E 3279 781
E 3280 2284
E 3281 986
E 3282 874
E 3283 1580
E 3284 446
E 3285 446
E 3285 2841
E 3286 2192
E 3287 550
E 3288 1868
E 3289 2105
E 3290 678
E 3291 998
E 3292 468
E 3293 469
E 3293 2284
E 3294 203
E 3294 388
E 3295 2855
E 3296 1834
E 3297 2500
E 3298 187
E 3299 1187
E 3300 1231
E 3001 63
E 3003 1535
E 3008 2015
E 3008 2400
E 3013 870
E 3015 1775
E 3021 1362
E 3022 363
E 3029 1353
E 3032 1262
E 3034 66
E 3041 2553
E 3043 874
E 3052 942
E 3059 802
E 3067 2741
E 3071 1190
E 3092 2196
E 3093 51
E 3104 251
E 3105 998
E 3115 629
E 3126 345
E 3128 42
E 3134 2826
E 3135 345
E 3169 2704
E 3215 43
E 3240 440
