Cost 433.0
Edges 433
E 3001 63
E 3001 76
E 3001 102
E 3001 248
E 3001 1036
E 3002 2
E 3002 301
E 3002 1036
E 3003 4
E 3003 34
E 3003 72
E 3003 76
E 3003 94
E 3003 230
E 3003 325
E 3004 24
E 3004 26
E 3004 156
E 3004 248
E 3004 356
E 3004 468
E 3004 1011
E 3004 1860
E 3005 18
E 3005 36
E 3005 66
E 3005 1011
E 3006 5
E 3006 10
E 3006 1860
E 3007 301
E 3008 148
E 3008 157
E 3008 325
E 3008 563
E 3008 923
E 3009 11
E 3009 65
E 3009 298
E 3009 313
E 3009 528
E 3009 923
E 3010 17
E 3010 20
E 3010 25
E 3010 147
E 3010 176
E 3010 313
E 3011 12
E 3011 29
E 3011 63
E 3012 5
E 3013 1
E 3013 6
E 3013 528
E 3014 91
E 3014 101
E 3014 468
E 3015 50
E 3015 82
E 3015 141
E 3015 144
E 3015 230
E 3016 29
E 3016 30
E 3016 40
E 3016 58
E 3016 204
E 3017 17
E 3018 58
E 3018 60
E 3018 302
E 3019 6
E 3019 35
E 3019 67
E 3020 101
E 3020 179
E 3021 2
E 3021 9
E 3021 44
E 3021 115
E 3021 178
E 3022 15
E 3022 82
E 3022 88
E 3022 415
E 3023 7
E 3023 58
E 3023 83
E 3023 97
E 3024 30
E 3024 146
E 3025 7
E 3025 80
E 3026 176
E 3027 91
E 3028 89
E 3028 141
E 3029 32
E 3029 147
E 3030 46
E 3030 78
E 3030 146
E 3031 23
E 3031 83
E 3032 65
E 3032 149
E 3033 5
E 3034 1
E 3034 59
E 3034 87
E 3034 119
E 3034 159
E 3035 7
E 3035 77
E 3036 64
E 3036 70
E 3036 563
E 3037 151
E 3037 174
E 3037 178
E 3038 12
E 3039 2
E 3039 13
E 3039 19
E 3039 39
E 3040 415
E 3041 19
E 3042 117
E 3042 179
E 3043 100
E 3043 103
E 3043 144
E 3043 145
E 3044 62
E 3044 86
E 3044 144
E 3045 2
E 3045 41
E 3046 18
E 3046 127
E 3047 2
E 3047 75
E 3048 14
E 3048 44
E 3049 119
E 3050 64
E 3050 123
E 3051 48
E 3051 117
E 3052 13
E 3052 28
E 3053 3
E 3053 16
E 3053 18
E 3053 27
E 3053 73
E 3053 84
E 3054 115
E 3055 32
E 3056 5
E 3057 79
E 3057 142
E 3057 156
E 3058 26
E 3058 120
E 3059 28
E 3060 49
E 3060 151
E 3061 31
E 3061 59
E 3062 39
E 3062 53
E 3063 302
E 3064 67
E 3065 120
E 3066 46
E 3066 93
E 3066 113
E 3067 49
E 3068 5
E 3069 7
E 3070 1
E 3071 52
E 3071 100
E 3072 20
E 3073 1
E 3074 22
E 3074 248
E 3075 58
E 3075 61
E 3076 38
E 3076 100
E 3077 7
E 3077 121
E 3078 30
E 3079 44
E 3080 3
E 3080 68
E 3081 1
E 3082 1
E 3082 8
E 3083 5
E 3084 2
E 3085 11
E 3086 10
E 3087 204
E 3088 1
E 3089 64
E 3090 298
E 3091 77
E 3092 102
E 3093 8
E 3093 43
E 3094 4
E 3094 243
E 3095 9
E 3096 88
E 3097 50
E 3098 31
E 3099 23
E 3100 33
E 3100 69
E 3100 243
E 3101 145
E 3102 60
E 3103 23
E 3104 68
E 3105 22
E 3106 47
E 3106 66
E 3107 53
E 3107 106
E 3108 23
E 3109 29
E 3109 92
E 3110 73
E 3110 131
E 3111 19
E 3112 77
E 3113 58
E 3114 47
E 3114 95
E 3115 58
E 3116 23
E 3117 20
E 3118 148
E 3119 89
E 3120 25
E 3120 37
E 3121 62
E 3122 78
E 3123 103
E 3124 174
E 3125 95
E 3126 12
E 3127 3
E 3128 9
E 3128 42
E 3129 93
E 3130 27
E 3131 86
E 3132 31
E 3133 17
E 3134 30
E 3135 50
E 3136 61
E 3137 41
E 3137 81
E 3138 106
E 3139 4
E 3140 29
E 3141 14
E 3142 68
E 3143 15
E 3144 248
E 3145 113
E 3146 9
E 3147 34
E 3148 48
E 3149 1
E 3150 23
E 3151 42
E 3152 12
E 3153 67
E 3154 28
E 3155 46
E 3156 39
E 3157 25
E 3158 1
E 3159 8
E 3160 32
E 3161 26
E 3162 14
E 3163 9
E 3164 28
E 3165 121
E 3166 119
E 3167 78
E 3168 40
E 3169 4
E 3170 14
E 3171 10
E 3172 1
E 3173 8
E 3174 15
E 3175 131
E 3176 157
E 3177 10
E 3178 94
E 3179 36
E 3180 103
E 3181 37
E 3182 26
E 3183 62
E 3184 38
E 3185 13
E 3186 25
E 3187 1
E 3188 115
E 3189 32
E 3190 34
E 3191 23
E 3192 28
E 3193 8
E 3194 6
E 3195 33
E 3196 60
E 3197 9
E 3198 87
E 3199 91
E 3200 60
E 3201 65
E 3202 33
E 3203 27
E 3204 30
E 3205 3
E 3206 91
E 3207 60
E 3208 81
E 3209 75
E 3210 1
E 3211 7
E 3212 101
E 3213 2
E 3214 72
E 3215 43
E 3216 32
E 3217 16
E 3218 79
E 3219 35
E 3220 24
E 3221 84
E 3222 97
E 3223 14
E 3224 11
E 3225 63
E 3226 3
E 3227 81
E 3228 49
E 3229 52
E 3230 13
E 3231 95
E 3232 3
E 3233 39
E 3234 127
E 3235 6
E 3236 4
E 3237 69
E 3238 25
E 3239 13
E 3240 78
E 3241 92
E 3242 34
E 3243 35
E 3244 66
E 3245 42
E 3246 24
E 3247 70
E 3248 40
E 3249 3
E 3250 70
E 3251 42
E 3252 64
E 3253 88
E 3254 26
E 3255 5
E 3256 149
E 3257 5
E 3258 32
E 3259 88
E 3260 23
E 3261 25
E 3262 92
E 3263 2
E 3264 18
E 3265 27
E 3266 120
E 3267 2
E 3267 138
E 3268 65
E 3269 6
E 3270 31
E 3271 38
E 3272 12
E 3273 28
E 3274 37
E 3275 15
E 3276 53
E 3277 28
E 3278 356
E 3279 26
E 3280 60
E 3281 141
E 3282 82
E 3283 70
E 3284 138
E 3285 6
E 3286 17
E 3287 3
E 3288 20
E 3289 142
E 3290 31
E 3291 65
E 3292 41
E 3293 159
E 3294 34
E 3295 4
E 3296 13
E 3297 29
E 3298 80
E 3299 10
E 3300 123
