Cost 1639.0
Edges 1166
E 2 1
E 3 1
E 4 2
E 6 2
E 7 3
E 8 4
E 9 1
E 10 2
E 11 3
E 12 4
E 13 9
E 14 6
E 15 7
E 16 8
E 17 1
E 18 2
E 19 3
E 21 17
E 22 6
E 23 7
E 24 8
E 26 10
E 27 11
E 28 12
E 29 13
E 30 14
E 31 15
E 32 16
E 33 1
E 35 3
E 36 4
E 37 33
E 38 6
E 39 7
E 40 8
E 41 9
E 42 10
E 45 13
E 46 14
E 47 15
E 48 16
E 49 17
E 50 18
E 51 19
E 52 36
E 53 21
E 54 22
E 55 23
E 56 24
E 57 41
E 58 26
E 59 27
E 61 29
E 63 31
E 64 32
E 65 1
E 66 2
E 68 4
E 69 65
E 70 6
E 71 7
E 72 8
E 73 9
E 74 10
E 75 11
E 76 12
E 77 13
E 79 15
E 80 16
E 81 17
E 82 18
E 83 19
E 84 68
E 85 21
E 86 22
E 87 23
E 88 24
E 89 73
E 90 26
E 91 27
E 92 28
E 93 29
E 94 30
E 97 33
E 98 66
E 100 36
E 101 37
E 102 38
E 103 39
E 104 40
E 106 42
E 107 75
E 109 45
E 110 46
E 111 47
E 112 48
E 114 50
E 115 51
E 116 52
E 118 54
E 119 55
E 120 56
E 121 57
E 122 58
E 123 59
E 124 92
E 125 61
E 126 94
E 127 63
E 128 64
E 129 1
E 130 2
E 131 3
E 134 6
E 135 7
E 136 8
E 137 9
E 138 10
E 139 11
E 140 12
E 141 13
E 142 14
E 143 15
E 145 17
E 146 18
E 147 19
E 148 146
E 149 21
E 150 22
E 151 23
E 152 24
E 154 26
E 155 27
E 156 28
E 157 29
E 158 30
E 159 31
E 160 32
E 161 33
E 162 130
E 163 35
E 164 36
E 165 37
E 166 38
E 168 40
E 169 41
E 170 42
E 172 140
E 173 45
E 174 46
E 175 47
E 176 48
E 177 49
E 178 50
E 180 52
E 181 53
E 182 54
E 185 57
E 187 59
E 188 156
E 189 61
E 190 158
E 191 63
E 192 64
E 193 65
E 194 66
E 195 131
E 196 68
E 197 69
E 198 70
E 199 71
E 200 72
E 202 74
E 203 75
E 204 76
E 205 77
E 206 142
E 207 79
E 208 80
E 209 81
E 211 83
E 213 85
E 214 86
E 215 87
E 216 88
E 217 89
E 218 90
