Cost 334770.0
Edges 3330
E 1 33
E 2 1026
E 2 514
E 2 66
E 2 18
E 3 4
E 6 134
E 7 519
E 7 135
E 8 520
E 8 24
E 11 523
E 12 28
E 13 2061
E 17 145
E 18 274
E 23 2071
E 23 151
E 26 154
E 26 90
E 27 28
E 28 156
E 30 2078
E 33 2081
E 36 548
E 38 46
E 41 105
E 41 45
E 42 298
E 42 58
E 44 556
E 44 48
E 45 2093
E 45 173
E 46 48
E 47 559
E 47 175
E 48 304
E 51 115
E 52 2100
E 52 60
E 52 56
E 54 566
E 55 56
E 56 64
E 57 313
E 57 59
E 59 315
E 62 190
E 64 192
E 65 321
E 66 322
E 67 323
E 67 75
E 68 580
E 69 77
E 73 2121
E 73 105
E 74 586
E 74 90
E 75 203
E 75 76
E 79 207
E 79 111
E 80 2128
E 84 596
E 86 118
E 88 1112
E 90 602
E 93 349
E 95 96
E 97 101
E 98 102
E 101 102
E 104 1128
E 105 233
E 106 1130
E 107 123
E 107 111
E 109 110
E 111 239
E 118 2166
E 118 126
E 123 379
E 123 127
E 127 383
E 130 134
E 131 139
E 133 134
E 134 136
E 136 648
E 139 395
E 140 2188
E 140 156
E 140 144
E 141 143
E 142 654
E 143 175
E 144 1168
E 145 177
E 146 148
E 153 185
E 159 671
E 159 191
E 161 1185
E 162 1186
E 163 2211
E 165 421
E 167 175
E 170 682
E 171 1195
E 171 683
E 173 175
E 177 178
E 179 243
E 179 183
E 180 184
E 182 2230
E 187 191
E 188 444
E 189 190
E 190 446
E 190 192
E 197 229
E 197 205
E 198 1222
E 200 2248
E 204 208
E 207 223
E 209 1233
E 211 2259
E 212 244
E 217 729
E 218 222
E 218 220
E 225 233
E 226 228
E 227 483
E 231 743
E 233 489
E 234 236
E 237 2285
E 237 238
E 239 2287
E 239 751
E 243 251
E 245 253
E 246 502
E 247 1271
E 248 2296
E 248 760
E 251 255
E 255 767
E 257 1281
E 258 322
E 259 267
E 262 326
E 263 279
E 264 392
E 265 777
E 265 297
E 265 267
E 267 1291
E 268 272
E 270 1294
E 270 302
E 272 400
E 273 305
E 274 338
E 276 340
E 276 308
E 279 791
E 283 2331
E 288 352
E 289 801
E 289 290
E 290 292
E 291 295
E 298 302
E 299 2347
E 302 430
E 302 366
E 304 816
E 304 320
E 305 369
E 305 307
E 307 308
E 309 311
E 311 312
E 312 376
E 313 825
E 316 380
E 319 447
E 320 1344
E 320 832
E 320 448
E 323 2371
E 325 341
E 326 342
E 327 359
E 327 335
E 329 2377
E 336 2384
E 337 345
E 340 468
E 342 350
E 343 344
E 349 861
E 351 2399
E 352 864
E 352 384
E 355 356
E 356 868
E 357 1381
E 360 1384
E 362 378
E 363 2411
E 363 367
E 365 493
E 370 378
E 375 887
E 381 893
E 382 894
E 383 1407
E 383 895
E 383 511
E 383 384
E 385 2433
E 386 402
E 389 405
E 390 398
E 391 423
E 392 456
E 394 426
E 397 1421
E 400 2448
E 401 433
E 401 403
E 402 404
E 403 2451
E 403 467
E 404 2452
E 405 917
E 406 408
E 409 410
E 410 442
E 410 412
E 412 476
E 414 1438
E 420 436
E 422 1446
E 422 934
E 424 488
E 425 429
E 426 442
E 426 428
E 427 491
E 431 2479
E 432 2480
E 433 945
E 437 438
E 444 1468
E 445 447
E 446 510
E 449 457
E 451 452
E 453 965
E 455 967
E 465 467
E 467 475
E 470 982
E 479 991
E 480 1504
E 481 993
E 482 2530
E 482 1506
E 485 487
E 486 998
E 488 504
E 490 1514
E 499 1011
E 502 510
E 505 509
E 507 508
E 509 1533
E 512 2560
E 514 770
E 515 643
E 515 579
E 516 2564
E 516 772
E 524 2572
E 524 588
E 524 528
E 529 785
E 531 1555
E 531 659
E 533 661
E 534 536
E 536 568
E 536 544
E 538 540
E 540 2588
E 540 796
E 541 1565
E 543 671
E 543 575
E 547 2595
E 548 612
E 551 1575
E 551 679
E 554 570
E 557 2605
E 557 558
E 558 622
E 558 574
E 559 687
E 560 624
E 561 563
E 567 823
E 570 574
E 571 699
E 571 575
E 573 575
E 576 704
E 576 640
E 577 609
E 578 706
E 579 2627
E 579 611
E 579 580
E 580 2628
E 582 598
E 583 711
E 583 591
E 586 714
E 588 844
E 589 845
E 591 847
E 592 720
E 592 608
E 594 598
E 595 2643
E 597 629
E 597 598
E 599 2647
E 600 2648
E 600 1624
E 603 1627
E 603 635
E 606 2654
E 606 1630
E 608 736
E 609 865
E 609 625
E 612 2660
E 612 868
E 613 2661
E 614 1638
E 614 622
E 616 624
E 619 875
E 625 2673
E 625 753
E 626 628
E 629 757
E 633 761
E 637 639
E 638 894
E 643 651
E 643 644
E 646 2694
E 646 654
E 646 648
E 647 1671
E 648 712
E 648 680
E 648 656
E 653 2701
E 658 666
E 663 2711
E 663 1687
E 663 727
E 664 2712
E 673 737
E 673 674
E 674 690
E 674 678
E 676 2724
E 680 1704
E 681 682
E 684 1708
E 687 2735
E 687 1711
E 690 694
E 692 1716
E 692 756
E 693 949
E 693 701
E 695 2743
E 698 702
E 701 1725
E 702 958
E 704 2752
E 706 1730
E 708 964
E 708 740
E 710 1734
E 711 727
E 712 728
E 712 720
E 713 969
E 713 745
E 717 749
E 718 2766
E 719 2767
E 724 1748
E 725 981
E 726 2774
E 728 1752
E 730 986
E 732 2780
E 733 1757
E 734 2782
E 735 767
E 737 745
E 739 995
E 740 996
E 743 2791
E 745 761
E 745 749
E 747 763
E 747 748
E 749 750
E 750 1006
E 750 752
E 751 752
E 756 2804
E 756 1012
E 759 760
E 765 766
E 770 834
E 772 776
E 778 906
E 784 1808
E 785 2833
E 785 787
E 787 795
E 791 823
E 793 797
E 795 1819
E 797 925
E 798 926
E 801 809
E 802 806
E 803 804
E 805 2853
E 805 933
